hour,irradiance_wm2,temperature_c
0,0.0,0.3
1,0.0,0.3
2,0.0,0.3
3,0.0,0.3
4,0.0,0.3
5,0.0,0.3
6,0.0,0.3
7,2.2,1.6
8,4.3,2.8
9,6.2,3.8
10,7.6,4.6
11,8.6,5.1
12,8.9,5.3
13,8.7,5.1
14,7.9,4.6
15,6.5,3.8
16,4.6,2.8
17,2.4,1.6
18,0.0,0.3
19,0.0,0.3
20,0.0,0.3
21,0.0,0.3
22,0.0,0.3
23,0.0,0.3
24,0.0,0.3
25,0.0,0.3
26,0.0,0.3
27,0.0,0.3
28,0.0,0.3
29,0.0,0.3
30,0.0,0.3
31,2.7,1.6
32,5.2,2.9
33,7.4,3.9
34,9.1,4.7
35,10.2,5.2
36,10.6,5.4
37,10.3,5.2
38,9.3,4.7
39,7.7,3.9
40,5.5,2.9
41,2.8,1.7
42,0.0,0.4
43,0.0,0.4
44,0.0,0.4
45,0.0,0.4
46,0.0,0.4
47,0.0,0.4
48,0.0,0.4
49,0.0,0.4
50,0.0,0.4
51,0.0,0.4
52,0.0,0.4
53,0.0,0.4
54,0.0,0.4
55,3.1,1.7
56,6.1,2.9
57,8.6,3.9
58,10.7,4.7
59,12.0,5.2
60,12.5,5.4
61,12.1,5.3
62,10.9,4.8
63,9.0,4.0
64,6.4,2.9
65,3.3,1.7
66,0.0,0.4
67,0.0,0.4
68,0.0,0.4
69,0.0,0.4
70,0.0,0.4
71,0.0,0.4
72,0.0,0.4
73,0.0,0.5
74,0.0,0.5
75,0.0,0.5
76,0.0,0.5
77,0.0,0.5
78,0.0,0.5
79,3.6,1.8
80,7.1,3.0
81,10.0,4.0
82,12.4,4.8
83,13.9,5.3
84,14.4,5.5
85,14.0,5.3
86,12.7,4.8
87,10.4,4.0
88,7.4,3.0
89,3.9,1.8
90,0.0,0.5
91,0.0,0.5
92,0.0,0.5
93,0.0,0.5
94,0.0,0.5
95,0.0,0.5
96,0.0,0.5
97,0.0,0.5
98,0.0,0.5
99,0.0,0.5
100,0.0,0.5
101,0.0,0.5
102,0.0,0.5
103,4.2,1.8
104,8.1,3.0
105,11.5,4.1
106,14.2,4.9
107,15.9,5.4
108,16.6,5.5
109,16.1,5.4
110,14.5,4.9
111,11.9,4.1
112,8.5,3.1
113,4.4,1.9
114,0.0,0.6
115,0.0,0.6
116,0.0,0.6
117,0.0,0.6
118,0.0,0.6
119,0.0,0.6
120,0.0,0.6
121,0.0,0.6
122,0.0,0.6
123,0.0,0.6
124,0.0,0.6
125,0.0,0.6
126,0.0,0.6
127,4.8,1.9
128,9.2,3.1
129,13.1,4.1
130,16.2,4.9
131,18.1,5.4
132,18.8,5.6
133,18.3,5.5
134,16.5,5.0
135,13.5,4.2
136,9.6,3.1
137,5.0,1.9
138,0.0,0.6
139,0.0,0.6
140,0.0,0.6
141,0.0,0.6
142,0.0,0.7
143,0.0,0.7
144,0.0,0.7
145,0.0,0.7
146,0.0,0.7
147,0.0,0.7
148,0.0,0.7
149,0.0,0.7
150,0.0,0.7
151,5.4,2.0
152,10.4,3.2
153,14.8,4.2
154,18.2,5.0
155,20.4,5.5
156,21.3,5.7
157,20.6,5.5
158,18.6,5.0
159,15.3,4.2
160,10.8,3.2
161,5.6,2.0
162,0.0,0.7
163,0.0,0.7
164,0.0,0.7
165,0.0,0.7
166,0.0,0.7
167,0.0,0.7
168,0.0,0.7
169,0.0,0.7
170,0.0,0.7
171,0.0,0.7
172,0.0,0.7
173,0.0,0.8
174,0.0,0.8
175,6.0,2.1
176,11.7,3.3
177,16.6,4.3
178,20.4,5.1
179,22.9,5.6
180,23.8,5.8
181,23.1,5.6
182,20.8,5.1
183,17.1,4.3
184,12.1,3.3
185,6.3,2.1
186,0.0,0.8
187,0.0,0.8
188,0.0,0.8
189,0.0,0.8
190,0.0,0.8
191,0.0,0.8
192,0.0,0.8
193,0.0,0.8
194,0.0,0.8
195,0.0,0.8
196,0.0,0.8
197,0.0,0.8
198,0.0,0.8
199,6.7,2.1
200,13.0,3.3
201,18.5,4.4
202,22.8,5.2
203,25.5,5.7
204,26.5,5.9
205,25.7,5.7
206,23.2,5.2
207,19.0,4.4
208,13.5,3.4
209,7.0,2.2
210,0.0,0.9
211,0.0,0.9
212,0.0,0.9
213,0.0,0.9
214,0.0,0.9
215,0.0,0.9
216,0.0,0.9
217,0.0,0.9
218,0.0,0.9
219,0.0,0.9
220,0.0,0.9
221,0.0,0.9
222,0.0,0.9
223,7.4,2.2
224,14.4,3.4
225,20.5,4.5
226,25.2,5.3
227,28.2,5.8
228,29.3,5.9
229,28.5,5.8
230,25.6,5.3
231,21.0,4.5
232,14.9,3.5
233,7.8,2.3
234,0.0,1.0
235,0.0,1.0
236,0.0,1.0
237,0.0,1.0
238,0.0,1.0
239,0.0,1.0
240,0.0,1.0
241,0.0,1.0
242,0.0,1.0
243,0.0,1.0
244,0.0,1.0
245,0.0,1.0
246,0.0,1.0
247,8.2,2.3
248,15.9,3.5
249,22.6,4.6
250,27.8,5.4
251,31.1,5.9
252,32.3,6.0
253,31.3,5.9
254,28.2,5.4
255,23.1,4.6
256,16.4,3.6
257,8.5,2.4
258,0.0,1.1
259,0.0,1.1
260,0.0,1.1
261,0.0,1.1
262,0.0,1.1
263,0.0,1.1
264,0.0,1.1
265,0.0,1.1
266,0.0,1.1
267,0.0,1.1
268,0.0,1.1
269,0.0,1.1
270,0.0,1.1
271,9.0,2.4
272,17.5,3.6
273,24.8,4.7
274,30.5,5.5
275,34.1,6.0
276,35.4,6.1
277,34.4,6.0
278,30.9,5.5
279,25.3,4.7
280,18.0,3.7
281,9.3,2.5
282,0.0,1.2
283,0.0,1.2
284,0.0,1.2
285,0.0,1.2
286,0.0,1.2
287,0.0,1.2
288,0.0,1.2
289,0.0,1.2
290,0.0,1.2
291,0.0,1.2
292,0.0,1.2
293,0.0,1.2
294,0.0,1.2
295,9.8,2.5
296,19.1,3.7
297,27.1,4.8
298,33.3,5.6
299,37.2,6.1
300,38.7,6.2
301,37.5,6.1
302,33.7,5.6
303,27.6,4.8
304,19.6,3.8
305,10.2,2.6
306,0.0,1.3
307,0.0,1.3
308,0.0,1.3
309,0.0,1.3
310,0.0,1.3
311,0.0,1.3
312,0.0,1.3
313,0.0,1.3
314,0.0,1.3
315,0.0,1.3
316,0.0,1.3
317,0.0,1.3
318,0.0,1.3
319,10.7,2.6
320,20.7,3.8
