time_s,speed_kmh
0,0.0
1,0.2
2,0.5
3,0.7
4,0.9
5,1.2
6,1.4
7,1.7
8,1.9
9,2.2
10,2.4
11,2.7
12,3.0
13,3.3
14,3.5
15,3.8
16,4.1
17,4.4
18,4.7
19,5.0
20,5.3
21,5.6
22,5.9
23,6.2
24,6.5
25,6.8
26,7.1
27,7.4
28,7.8
29,8.1
30,8.4
31,8.7
32,9.1
33,9.4
34,9.7
35,10.1
36,10.4
37,10.7
38,11.1
39,11.4
40,11.8
41,12.1
42,12.5
43,12.8
44,13.1
45,13.5
46,13.8
47,14.2
48,14.5
49,14.9
50,15.2
51,15.6
52,15.9
53,16.3
54,16.6
55,16.9
56,17.3
57,17.6
58,18.0
59,18.3
60,18.6
61,19.0
62,19.3
63,19.6
64,20.0
65,20.3
66,20.6
67,20.9
68,21.2
69,21.6
70,21.9
71,22.2
72,22.5
73,22.8
74,23.1
75,23.4
76,23.7
77,23.9
78,24.2
79,24.5
80,24.8
81,25.0
82,25.3
83,25.5
84,25.8
85,26.0
86,26.3
87,26.5
88,26.8
89,27.0
90,27.2
91,27.4
92,27.6
93,27.8
94,28.0
95,28.2
96,28.4
97,28.6
98,28.8
99,28.9
100,29.1
101,29.3
102,29.4
103,29.5
104,29.7
105,29.8
106,29.9
107,30.1
108,30.2
109,30.3
110,30.4
111,30.5
112,30.5
113,30.6
114,30.7
115,30.8
116,30.8
117,30.9
118,30.9
119,31.0
120,31.0
121,31.0
122,31.0
123,31.1
124,31.1
125,31.1
126,31.1
127,31.0
128,31.0
129,31.0
130,31.0
131,31.0
132,30.9
133,30.9
134,30.8
135,30.8
136,30.7
137,30.6
138,30.6
139,30.5
140,30.4
141,30.3
142,30.2
143,30.1
144,30.0
145,29.9
146,29.8
147,29.7
148,29.6
149,29.5
150,29.4
151,29.2
152,29.1
153,29.0
154,28.9
155,28.7
156,28.6
157,28.4
158,28.3
159,28.2
160,28.0
161,27.9
162,27.7
163,27.6
164,27.4
165,27.2
166,27.1
167,26.9
168,26.8
169,26.6
170,26.5
171,26.3
172,26.1
173,26.0
174,25.8
175,25.7
176,25.5
177,25.4
178,25.2
179,25.1
180,24.9
181,24.8
182,24.6
183,24.5
184,24.3
185,24.2
186,24.1
187,23.9
188,23.8
189,23.7
190,23.6
191,23.4
192,23.3
193,23.2
194,23.1
195,23.0
196,22.9
197,22.8
198,22.7
199,22.6
200,22.6
201,22.5
202,22.4
203,22.3
204,22.3
205,22.2
206,22.2
207,22.1
208,22.1
209,22.1
210,22.0
211,22.0
212,22.0
213,22.0
214,22.0
215,22.0
216,22.0
217,22.0
218,22.1
219,22.1
220,22.1
221,22.2
222,22.2
223,22.3
224,22.4
225,22.4
226,22.5
227,22.6
228,22.7
229,22.8
230,22.9
231,23.0
232,23.2
233,23.3
234,23.4
235,23.6
236,23.7
237,23.9
238,24.1
239,24.2
240,24.4
241,24.6
242,24.8
243,25.0
244,25.2
245,25.4
246,25.6
247,25.9
248,26.1
249,26.3
250,26.6
251,26.9
252,27.1
253,27.4
254,27.7
255,27.9
256,28.2
257,28.5
258,28.8
259,29.1
260,29.4
261,29.7
262,30.0
263,30.4
264,30.7
265,31.0
266,31.4
267,31.7
268,32.0
269,32.4
270,32.7
271,33.1
272,33.4
273,33.8
274,34.2
275,34.5
276,34.9
277,35.3
278,35.7
279,36.0
280,36.4
281,36.8
282,37.2
283,37.6
284,37.9
285,38.3
286,38.7
287,39.1
288,39.5
289,39.9
290,40.3
291,40.7
292,41.0
293,41.4
294,41.8
295,42.2
296,42.6
297,43.0
298,43.3
299,43.7
300,44.1
301,44.5
302,44.8
303,45.2
304,45.6
305,45.9
306,46.3
307,46.6
308,47.0
309,47.3
310,47.7
311,48.0
312,48.4
313,48.7
314,49.0
315,49.3
316,49.6
317,50.0
318,50.3
319,50.6
320,50.8
321,51.1
322,51.4
323,51.7
